ID;ISO;COUNTRY;REGION;LOG_TYPE;CATEGORY;MEASURE;TARGETED_POP_GROUP;COMMENTS;NON_COMPLIANCE;DATE_IMPLEMENTED;SOURCE;SOURCE_TYPE
2170;NOR;Norway;Europe;Introduction / extension of measures;Movement restrictions;Domestic travel restrictions;;"People are banned from relocating to their cabins, due to risks of spreading and overloading rural health capacities; fines of 15.000 NOK for non-compliance";Fines;19.03.2020;Government;Government
2167;NOR;Norway;Europe;Introduction / extension of measures;Governance and socio-economic measures;Economic measures;;Special payments and increased support for people becoming unemployed due to the crisis;Not applicable;20.03.2020;Government;Government
6219;NOR;Norway;Europe;Introduction / extension of measures;Governance and socio-economic measures;Economic measures;checked;Norwegian airline rescued with $543 million loan guarantee;Not applicable;20.03.2020;Forbes;Media
2168;NOR;Norway;Europe;Introduction / extension of measures;Governance and socio-economic measures;Emergency administrative structures activated or established;;Emergency law implemented to enable more decisive actions;Not applicable;21.03.2020;Government;Government
2169;NOR;Norway;Europe;Introduction / extension of measures;Governance and socio-economic measures;Economic measures;checked;Renewal of residence permit for foreign workers ;Not applicable;22.03.2020;Government;Government
4433;NOR;Norway;Europe;Introduction / extension of measures;Public health measures;Strengthening the public health system;;More flexibility on the social security reimbursement option for GPs;Not applicable;26.03.2020;Directorate of Health;Government
3450;NOR;Norway;Europe;Introduction / extension of measures;Governance and socio-economic measures;Economic measures;;Ability of government offices established to pay unemployment benefits in advance, and extension of unemployment benefit period;Not applicable;27.03.2020;Government;Government
3458;NOR;Norway;Europe;Introduction / extension of measures;Public health measures;Isolation and quarantine policies;;NOK 2.2 billion for the vaccine development allocated to the Coalition for Epidemic Preparedness Innovations (Cepi);Not applicable;27.03.2020;Government;Government
3451;NOR;Norway;Europe;Introduction / extension of measures;Governance and socio-economic measures;Economic measures;;"Shorter employer period for sickness benefits; Easier to report sickness without physician�s certificate; Sickness benefits for self-employed persons and freelancers";Not applicable;27.03.2020;Government;Government
3453;NOR;Norway;Europe;Introduction / extension of measures;Governance and socio-economic measures;Economic measures;;Compensation scheme for unavoidable business expenses;Not applicable;27.03.2020;Government;Government
3454;NOR;Norway;Europe;Introduction / extension of measures;Governance and socio-economic measures;Economic measures;;"Grants for young growth companies � NOK 2.5 billion; Innovation loans � increased loan framework by NOK 1.6 billion, to NOK 3 billion; Interest payment support fund � NOK 300 million; Grants for private innovation groups � NOK 50 million; Business-oriented research � NOK 250 million; Capital for fund and matching investments � NOK 1 billion";Not applicable;27.03.2020;Government;Government
4435;NOR;Norway;Europe;Introduction / extension of measures;Public health measures;Strengthening the public health system;;New system for distribution of protective equipment;Not applicable;27.03.2020;Directorate of Health;Government
3449;NOR;Norway;Europe;Introduction / extension of measures;Public health measures;Strengthening the public health system;;Government supporting the  production of emergency ventilators;Not applicable;30.03.2020;Government;Government
8651;NOR;Norway;Europe;Introduction / extension of measures;Governance and socio-economic measures;Limit product imports/exports;;An e xport permit is required to export personal contamination equipment. The ban is limited to mouthwashes, goggles, disposable gloves and protective suits. The Directorate of Health is responsible authority for processing export permit applications.;Not applicable;30.03.2020;Directorate of Health;Government
4434;NOR;Norway;Europe;Introduction / extension of measures;Public health measures;Strengthening the public health system;;Implementation of a Norwegian Pandemic Register;Not applicable;31.03.2020;Directorate of Health;Government
3455;NOR;Norway;Europe;Introduction / extension of measures;Governance and socio-economic measures;Economic measures;;Temporary changes in the mortgage regulation;Not applicable;01.04.2020;Government;Government
3452;NOR;Norway;Europe;Introduction / extension of measures;Governance and socio-economic measures;Economic measures;;Further reduction of VAT;Not applicable;01.04.2020;Government;Government
4438;NOR;Norway;Europe;Phase-out measure;Movement restrictions;Border closure;;Norway is opening its borders for seasonal workers from EEA countries in the agricultural, horticultural and forestry sectors and the food industry.;Not applicable;01.04.2020;Government;Government
4436;NOR;Norway;Europe;Introduction / extension of measures;Public health measures;General recommendations;;General travel advice by Ministry of Foreign Affairs upheld;Not applicable;03.04.2020;Government;Government
4437;NOR;Norway;Europe;Introduction / extension of measures;Governance and socio-economic measures;Economic measures;;"Compensation scheme for enterprises with reduced income due to the coronavirus � NOK 50 billion; Help for students who have lost work income � NOK 1 billion; Temporary benefit for apprentices � NOK 250 million; Compensation for reduced parental payment to after-school care (SFO) � NOK 1 billion; Skills development measures � NOK 190 million; NOK 3 million to simplify home-based instruction;  as well as a number of efforts to specific sectors";Not applicable;03.04.2020;Government;Government
5579;NOR;Norway;Europe;Introduction / extension of measures;Social distancing;Changes in prison-related policies;;Release of a number of prisoners;Not applicable;06.04.2020;Global Detention Project;Other organisations
4431;NOR;Norway;Europe;Introduction / extension of measures;Social distancing;Limit public gatherings;;Extension: ban of cultural and sporting events until 15th June;Not applicable;07.04.2020;Directorate of Health;Government
4425;NOR;Norway;Europe;Introduction / extension of measures;Social distancing;Schools closure;;Extension until end of April;Not applicable;07.04.2020;Directorate of Health;Government
4432;NOR;Norway;Europe;Phase-out measure;Public health measures;Strengthening the public health system;;Health facilities, where possible, to attempt to return to normal work flow;Not applicable;07.04.2020;Directorate of Health;Government
4426;NOR;Norway;Europe;Introduction / extension of measures;Social distancing;Closure of businesses and public services;;Extension until 20th April;Not applicable;07.04.2020;Directorate of Health;Government
4424;NOR;Norway;Europe;Introduction / extension of measures;Public health measures;Strengthening the public health system;;E-consultations strengthened and tarif system for GPs adapted ;Not applicable;08.04.2020;Directorate of Health;Government
6220;NOR;Norway;Europe;Introduction / extension of measures;Public health measures;General recommendations;checked;Infection protection guidelines for Kindergarten workers published;Not applicable;15.04.2020;Directorate of Health;Government
6218;NOR;Norway;Europe;Introduction / extension of measures;Movement restrictions;Surveillance and monitoring;;"Launch of voluntary corona tracking app ""Smittestopp"" ";Not applicable;16.04.2020;The Local;Media
139148;NOR;Norway;Europe;Introduction / extension of measures;Public health measures;Isolation and quarantine policies;;New rule on sickness benefits for self-imposed quarantine. Persons who violate the travel authorities' travel advice and are required to quarantine on return to Norway may be denied sickness benefits.;Other (add in comments);17.04.2020;Norwegian Goverment;Government
6217;NOR;Norway;Europe;Introduction / extension of measures;Public health measures;Strengthening the public health system;checked;Norway contributes NOK 22,5 million to IAEA test-kits against Covid-19;Not applicable;18.04.2020;Government;Government
4428;NOR;Norway;Europe;Phase-out measure;Social distancing;Schools closure;checked;Re-opening of Kindergartens ;Not applicable;20.04.2020;Directorate of Health;Government
4427;NOR;Norway;Europe;Phase-out measure;Movement restrictions;Domestic travel restrictions;checked;Ban to travel to cabins liftened;Not applicable;20.04.2020;Directorate of Health;Government
7362;NOR;Norway;Europe;Introduction / extension of measures;Public health measures;General recommendations;checked;Infection prevention guidance for schools published;Not applicable;20.04.2020;Directorate of Health;Government
7365;NOR;Norway;Europe;Introduction / extension of measures;Governance and socio-economic measures;Emergency administrative structures activated or established;;Corona vaccine planning group established;Not applicable;20.04.2020;Norway Today;Media
7363;NOR;Norway;Europe;Introduction / extension of measures;Governance and socio-economic measures;Economic measures;checked;Norway Allocates 178 Million NOK to Promote Internal Tourism;Not applicable;20.04.2020;Schengen Visa Info;Other organisations
8652;NOR;Norway;Europe;Introduction / extension of measures;Public health measures;General recommendations;checked;The Directorate of Health advises against cultural and sporting events with more than 500 participants in the period from 15 June to 31 August 2020.;Not applicable;25.04.2020;Directorate of Health;Government
13461;NOR;Norway;Europe;Introduction / extension of measures;Social distancing;Limit public gatherings;;Big events (>500 persons) banned until September;Not applicable;25.04.2020;Life in Norway;Media
4430;NOR;Norway;Europe;Phase-out measure;Social distancing;Schools closure;checked;Re-opening of pre-schools (and partially for vocational schools, colleges and universities), under certain restrictions ;Not applicable;27.04.2020;Directorate of Health;Government
4429;NOR;Norway;Europe;Phase-out measure;Social distancing;Closure of businesses and public services;checked;Customer-contact services to re-open, if infection control measures in place and followed;Not applicable;27.04.2020;Directorate of Health;Government
8648;NOR;Norway;Europe;Introduction / extension of measures;Public health measures;General recommendations;checked;Development of a guide to how leaders, employees, union representatives and safety ombuds can take care of themselves, employees and colleagues.;Not applicable;28.04.2020;Directorate of Health;Government
8649;NOR;Norway;Europe;Introduction / extension of measures;Public health measures;Psychological assistance and medical social work;;Development of a guide on how to ensure psychosocial support to employees for employers;Not applicable;28.04.2020;Directorate of Health;Government
8653;NOR;Norway;Europe;Phase-out measure;Public health measures;Other public health measures enforced;;The Norwegian Public Roads Administration has simplified the rules for driving practice. It is now allowed to practice driving even if you have not completed the first aid part of the basic traffic course.;Not applicable;28.04.2020;Norway Today;Media
8650;NOR;Norway;Europe;Introduction / extension of measures;Public health measures;Other public health measures enforced;checked;Guide on disinfection of aircrafts established;Not applicable;28.04.2020;Directorate of Health;Government
8654;NOR;Norway;Europe;Introduction / extension of measures;Public health measures;Testing policy;;New criteria: Now everyone with symptoms of corona should be tested;Not applicable;29.04.2020;Norway Today;Media
8646;NOR;Norway;Europe;Introduction / extension of measures;Governance and socio-economic measures;Economic measures;checked;Reducing oil production on the Norwegian Continental Shelf;Not applicable;29.04.2020;Government;Government
8645;NOR;Norway;Europe;Introduction / extension of measures;Governance and socio-economic measures;Economic measures;checked;Package of measures to support the oil and gas industry and the supply industry;Not applicable;30.04.2020;Government;Government
7364;NOR;Norway;Europe;Introduction / extension of measures;Public health measures;Testing policy;;Government plans that everyone with symptoms to be tested in May;Not applicable;01.05.2020;Norway Today;Media
8656;NOR;Norway;Europe;Introduction / extension of measures;Public health measures;Testing policy;checked;People in Oslo�s substance abuse environment are being corona tested;Not applicable;01.05.2020;Norway Today;Media
9442;NOR;Norway;Europe;Introduction / extension of measures;Public health measures;Other public health measures enforced;checked;"Guidance published of infection protection in public transport (bus, train, tram, etc.)
";;05.05.2020;Directorate of Health;Government
9436;NOR;Norway;Europe;Introduction / extension of measures;Public health measures;Other public health measures enforced;;VAT on face masks reduced to 5% to make them more affordable;Not applicable;06.05.2020;Times of Malta;Media
9441;NOR;Norway;Europe;Phase-out measure;Public health measures;Isolation and quarantine policies;;Visitors to care centres again allowed, though on case-by-case decision of the health staff under consideration of risks and benefits;Not applicable;06.05.2020;Directorate of Health;Government
9439;NOR;Norway;Europe;Phase-out measure;Public health measures;Strengthening the public health system;;Visitors to hospitals again allowed, though on case-by-case decision of the health staff under consideration of risks and benefits;Not applicable;06.05.2020;Directorate of Health;Government
8655;NOR;Norway;Europe;Phase-out measure;Social distancing;Limit public gatherings;;Events allowed for up to 50 people;Not applicable;07.05.2020;Norway Today;Media
10640;NOR;Norway;Europe;Phase-out measure;Public health measures;General recommendations;;"General recommendations on group sizes was raised from 5 > 20 persons maximum; also applies for sports and other contexts";Not applicable;07.05.2020;Government;Government
10650;NOR;Norway;Europe;Phase-out measure;Social distancing;Closure of businesses and public services;;Driving schools may reopen. They must follow the same infection control rules as other services where there is one-to-one contact;Not applicable;07.05.2020;Government;Government
10643;NOR;Norway;Europe;Introduction / extension of measures;Public health measures;General recommendations;checked;Recommendation for health workers to not travel abroad;Not applicable;07.05.2020;Government;Government
10647;NOR;Norway;Europe;Introduction / extension of measures;Public health measures;General recommendations;checked;Employers should facilitate online meetings as much as possible ;Not applicable;07.05.2020;Government;Government
10646;NOR;Norway;Europe;Introduction / extension of measures;Public health measures;Isolation and quarantine policies;checked;People who tested positively previous are exempted from need to quarantine (e.g. when having been in contact or arriving from abroad) for 6 months;Not applicable;07.05.2020;Government;Government
10639;NOR;Norway;Europe;Phase-out measure;Social distancing;Limit public gatherings;;Sports halls may be opened, but use of their changing facilities is prohibited;Not applicable;07.05.2020;Government;Government
10651;NOR;Norway;Europe;Introduction / extension of measures;Social distancing;Schools closure;;Extension until further notice: Universities, university colleges, vocational technical colleges and courses run by adult education associations and Skills Norway  are to continue remote teaching;Not applicable;07.05.2020;Government;Government
10644;NOR;Norway;Europe;Phase-out measure;Public health measures;Isolation and quarantine policies;;People entering the country to self-quarantine for 10 days (instead of 14 as before);Not applicable;07.05.2020;Government;Government
10642;NOR;Norway;Europe;Phase-out measure;Public health measures;Strengthening the public health system;checked;Prohibition of health workers to travel abroad lifted;Not applicable;07.05.2020;Government;Government
10645;NOR;Norway;Europe;Introduction / extension of measures;Public health measures;Isolation and quarantine policies;;People who have been in contact with a confirmed case from 48hours before first symptoms need to self-quarantine;Not applicable;07.05.2020;Government;Government
10656;NOR;Norway;Europe;Introduction / extension of measures;Public health measures;Other public health measures enforced;checked;Revised guidance for infection prevention in kindergartens, primary and secondary schools and upper secondary schools;Not applicable;07.05.2020;Directorate of Health;Government
10659;NOR;Norway;Europe;Introduction / extension of measures;Social distancing;Limit public gatherings;checked;Holmenkollen reopens;Not applicable;10.05.2020;Norway Today;Media
8647;NOR;Norway;Europe;Introduction / extension of measures;Public health measures;General recommendations;checked;Webinar on maternity care during the covid-19 pandemic;Not applicable;11.05.2020;Directorate of Health;Government
10657;NOR;Norway;Europe;Phase-out measure;Social distancing;Closure of businesses and public services;;Gradual reopening of police public receptions;Not applicable;11.05.2020;Police Norway;Government
10655;NOR;Norway;Europe;Phase-out measure;Movement restrictions;Border closure;;Easing of reasons for entering Norway, partners of people living in Norway as well as those starting work are now allowed in among others;Not applicable;12.05.2020;Government;Government
10649;NOR;Norway;Europe;Phase-out measure;Social distancing;Schools closure;;Educational programmes for adults and immigrants may restart;Not applicable;15.05.2020;Government;Government
10648;NOR;Norway;Europe;Phase-out measure;Social distancing;Schools closure;;All schools are to open for all years;Not applicable;15.05.2020;Government;Government
10975;NOR;Norway;Europe;Introduction / extension of measures;Movement restrictions;Border closure;;Extension until 20th August: Border closure with exceptions of certain groups (measure will be evaluated continuously);Not applicable;15.05.2020;Government;Government
10974;NOR;Norway;Europe;Introduction / extension of measures;Public health measures;Isolation and quarantine policies;;Extension until 20th August: All people arriving in Norway have to self-quarantine for 14 days (measure will be evaluated continuously);Not applicable;15.05.2020;Government;Government
10973;NOR;Norway;Europe;Phase-out measure;Public health measures;Other public health measures enforced;checked;Grandparents are allowed to go on holidays with their families again;Not applicable;15.05.2020;Government;Government
10972;NOR;Norway;Europe;Introduction / extension of measures;Public health measures;General recommendations;;Extension until 20th August: Recommendation against travel abroad;Not applicable;15.05.2020;Government;Government
11828;NOR;Norway;Europe;Phase-out measure;Public health measures;Isolation and quarantine policies;;Entry quarantine for residents of Svalbard and those with an established work attachment or research assignment in Svalbard was lifted;Not applicable;15.05.2020;Directorate of Health;Government
10658;NOR;Norway;Europe;Introduction / extension of measures;Social distancing;Limit public gatherings;checked;Cancelling on celebrations for national day ;Not applicable;17.05.2020;Norway Today;Media
11827;NOR;Norway;Europe;Phase-out measure;Public health measures;Strengthening the public health system;;COVID-19 care unit closed in Bergen hospital;Not applicable;20.05.2020;Norway Today;Media
12620;NOR;Norway;Europe;Introduction / extension of measures;Public health measures;General recommendations;checked;Recommendation for visits to health and care institutions published;Not applicable;27.05.2020;Directorate of Health;Government
12618;NOR;Norway;Europe;Introduction / extension of measures;Public health measures;Other public health measures enforced;checked;New guidance document on infection prevention in kindergartens and schools published;Not applicable;29.05.2020;Directorate of Health;Government
10652;NOR;Norway;Europe;Phase-out measure;Social distancing;Closure of businesses and public services;;"Bars and other establishments that serve drink but not food may open; though need to maintain 1m distance and seating requirements that are still developed";Not applicable;01.06.2020;Government;Government
10654;NOR;Norway;Europe;Phase-out measure;Social distancing;Limit public gatherings;;Organised swimming activities, including school swimming lessons, will be permitted.  ;Not applicable;01.06.2020;Government;Government
10653;NOR;Norway;Europe;Phase-out measure;Social distancing;Closure of businesses and public services;;Amusement parks may reopen;Not applicable;01.06.2020;Government;Government
11851;NOR;Norway;Europe;Phase-out measure;Movement restrictions;Domestic travel restrictions;checked;Opening for tourists to travel from mainland Norway to Svalbard;Not applicable;01.06.2020;Directorate of Health;Government
12619;NOR;Norway;Europe;Phase-out measure;Social distancing;Limit public gatherings;checked;Training of children's and youth sports to resume;Not applicable;01.06.2020;Directorate of Health;Government
12615;NOR;Norway;Europe;Introduction / extension of measures;Governance and socio-economic measures;Economic measures;;Norway providing civil society organisations with NOK 4.3 billion in aid funding;Not applicable;02.06.2020;Government;Government
13457;NOR;Norway;Europe;Phase-out measure;Public health measures;Awareness campaigns;;Number of infected persons reported per weekday (before also on weekends);Not applicable;08.06.2020;Directorate of Health;Government
13872;NOR;Norway;Europe;Introduction / extension of measures;Public health measures;General recommendations;;General recommendation against travel abroad remains;Not applicable;12.06.2020;Government;Government
13875;NOR;Norway;Europe;Phase-out measure;Movement restrictions;Domestic travel restrictions;;Cruise ships to svalbard to be allowed again with max. of 250 persons and hygiene restrictions;Not applicable;12.06.2020;Government;Government
13883;NOR;Norway;Europe;Phase-out measure;Public health measures;Other public health measures enforced;checked;Airplane carries do not need to keep the middle seats empty anymore;Not applicable;12.06.2020;Norway Today;Media
13876;NOR;Norway;Europe;Phase-out measure;Public health measures;Isolation and quarantine policies;;Isolation requirements for regions that borders are opened to are lifted as well;Not applicable;12.06.2020;Government;Government
13874;NOR;Norway;Europe;Phase-out measure;Movement restrictions;Border closure;checked;Transit restrictions through areas of high-risk transmission lifted, if one car is used for transit;Not applicable;12.06.2020;Government;Government
13873;NOR;Norway;Europe;Phase-out measure;Movement restrictions;Border closure;checked;Additional border opening to Finland, Iceland, Greenland, the Faroe Islands;Not applicable;12.06.2020;Government;Government
12616;NOR;Norway;Europe;Phase-out measure;Movement restrictions;Border closure;checked;Norway to open borders to Denmark;Not applicable;15.06.2020;Government;Government
12617;NOR;Norway;Europe;Phase-out measure;Public health measures;Isolation and quarantine policies;checked;Danish people are exempted from undergoing self-isolation upon arrival ;Not applicable;15.06.2020;Government;Government
13459;NOR;Norway;Europe;Phase-out measure;Social distancing;Limit public gatherings;;Events of up to 200 persons allowed again;Not applicable;15.06.2020;Directorate of Health;Government
13460;NOR;Norway;Europe;Phase-out measure;Social distancing;Closure of businesses and public services;;Series games in top football allowed again;Not applicable;15.06.2020;Directorate of Health;Government
13877;NOR;Norway;Europe;Phase-out measure;Movement restrictions;Surveillance and monitoring;;Smittestopp contact tracing app suspended, as improving epidemiological situation does not justify collection of private data;Not applicable;15.06.2020;Norwegian Institut of Public Health;Government
13878;NOR;Norway;Europe;Phase-out measure;Social distancing;Closure of businesses and public services;;Gyms, swimming pools and water parks can open, with contamination measures;Not applicable;15.06.2020;Directorate of Health;Government
13880;NOR;Norway;Europe;Phase-out measure;Movement restrictions;Border closure;checked;No entry restrictions for people arriving from Gotland (as only region of Sweden where no border restrictions apply);Not applicable;16.06.2020;Directorate of Health;Government
13881;NOR;Norway;Europe;Phase-out measure;Public health measures;Other public health measures enforced;checked;Changing facilities of sports halls or fitness centres are allowed to be used again;Not applicable;16.06.2020;Directorate of Health;Government
13879;NOR;Norway;Europe;Phase-out measure;Social distancing;Limit public gatherings;checked;Series games in the top football are allowed again;Not applicable;16.06.2020;Directorate of Health;Government
13882;NOR;Norway;Europe;Introduction / extension of measures;Public health measures;Requirement to wear protective gear in public;checked;Norwegian introduces a requirement for facemasks;Not applicable;17.06.2020;Norway Today;Media
16087;NOR;Norway;Europe;Phase-out measure;Movement restrictions;Border closure;;The government has opened up for coastal cruises and tourism on Svalbard. ;Not applicable;26.06.2020;The Norwegian Directorate of Health;Government
9437;NOR;Norway;Europe;Phase-out measure;Social distancing;Schools closure;;Summer schools resume;Not applicable;01.07.2020;Times of Malta;Media
16088;NOR;Norway;Europe;Introduction / extension of measures;Governance and socio-economic measures;Emergency administrative structures activated or established;;plan communication with the population in the event of local outbreaks of covid-19;Not applicable;08.07.2020;The Norwegian Directorate of Health;Government
16086;NOR;Norway;Europe;Phase-out measure;Movement restrictions;Visa restrictions;;The Government aims to open up travel between Norway and Europe for persons residing in the Schengen and EEA areas from 15 July, if the infection situation so dictates.;Not applicable;15.07.2020;The Norwegian Directorate of Health;Government
16091;NOR;Norway;Europe;Phase-out measure;Movement restrictions;Visa restrictions;;Romantic partners and family members of Norwegians may now come to Norway to visit;Not applicable;15.07.2020;Ministry of Justice and Public Security, Ministry of Foreign Affairs, Ministry of Health and Care Services;Government
16089;NOR;Norway;Europe;Introduction / extension of measures;Public health measures;General recommendations;;Travel advice for employers and employees in the health service;Not applicable;22.07.2020;The Norwegian Directorate of Health;Government
16090;NOR;Norway;Europe;Introduction / extension of measures;Public health measures;Isolation and quarantine policies;checked;quarantine obligation when entering from Spain and Andorra;Not applicable;24.07.2020;The Norwegian Directorate of Health;Government
18110;NOR;Norway;Europe;Introduction / extension of measures;Movement restrictions;Border closure;checked;Temporary stop against the arrival of ships with more than 100 people (combined for crew and passengers) on board Norwegian ports;Refusal to enter the country;03.08.2020;The Norwegian Directorate of Health;Government
18111;NOR;Norway;Europe;Introduction / extension of measures;Public health measures;Testing policy;;new test criteria for covid-19 will be introduced. The test criteria are changed so that anyone who suspects that they are infected with covid-19 should have the opportunity to be tested without a doctor's assessment.;Not applicable;12.08.2020;The Norwegian Directorate of Health;Government
18112;NOR;Norway;Europe;Introduction / extension of measures;Public health measures;Strengthening the public health system;;The work with testing has been intensified. so that it will be easier to test and corona test centers will be established at points of arrival in Norway. The Norwegian Directorate of Health expects the municipalities to be able to equip themselves for a test capacity of up to 5 per cent;Not applicable;12.08.2020;The Norwegian Directorate of Health;Government
18113;NOR;Norway;Europe;Introduction / extension of measures;Public health measures;General recommendations;;Recommends the use of face masks in certain situations;Not applicable;14.08.2020;The Norwegian Directorate of Health;Government
139150;NOR;Norway;Europe;Introduction / extension of measures;Movement restrictions;Border checks;;Control at the internal border, which was introduced on 16 March, will be continued for a further 60 days from 14 August.;Not Available;14.08.2020;Norwegian Goverment;Government
18114;NOR;Norway;Europe;Introduction / extension of measures;Public health measures;Testing policy;checked;All travelers to help limit the risk of infection with covid-19 entering Norway. Be tested for covid-19 when they come to Norway. The test is voluntary and free for the person being tested. The testing takes place at the test station at the point of arrival.;Not applicable;25.08.2020;The Norwegian Directorate of Health;Government
139146;NOR;Norway;Europe;Introduction / extension of measures;Governance and socio-economic measures;Economic measures;;Increased unemployment benefit rate. The Storting has approved the government's proposal to extend the increased unemployment benefit rate for the rest of the year. ;Not Applicable;27.08.2020;Norwegian Goverment;Government
139151;NOR;Norway;Europe;Phase-out measure;Movement restrictions;Visa restrictions;;Change in entry restrictions for employees in non-profit, religious and humanitarian organizations. The change means that entry is opened for foreigners who are granted a residence permit in accordance with the Immigration Regulations § 6-23, ie employees in non-profit, religious and humanitarian organizations.;Not Available;01.09.2020;Norwegian Goverment;Government
139162;NOR;Norway;Europe;Introduction / extension of measures;Social distancing;Closure of businesses and public services;;"A ban on the implementation of tourism activities in the form of cruises on Svalbard is introduced
";Not Available;03.09.2020;Norwegian Goverment;Government
139163;NOR;Norway;Europe;Introduction / extension of measures;Governance and socio-economic measures;Economic measures;;The government will cover the municipal sector's expenses for testing and infection tracing. The government aims to cover all necessary costs in the municipalities for testing, isolation, tracking and quarantine.;Not Applicable;04.09.2020;Norwegian Goverment;Government
18115;NOR;Norway;Europe;Introduction / extension of measures;Public health measures;Strengthening the public health system;;Intensifies the work with testing and infection tracking;Not applicable;10.09.2020;The Norwegian Directorate of Health;Government
18116;NOR;Norway;Europe;Introduction / extension of measures;Public health measures;Other public health measures enforced;;Revised guide for infection control in public transport (bus, train, tram, etc.);Not applicable;11.09.2020;The Norwegian Directorate of Health;Government
18117;NOR;Norway;Europe;Introduction / extension of measures;Public health measures;Other public health measures enforced;;Revised infection control guide for companies with one-to-one contact such as hairdressers, body care, etc.;Not applicable;12.09.2020;The Norwegian Directorate of Health;Government
139137;NOR;Norway;Europe;Introduction / extension of measures;Governance and socio-economic measures;Economic measures;;"The government facilitates flexible arrangements if schools or kindergartens close due to local outbreaks of coronary heart disease. If the school or kindergarten closes, parents are entitled to care allowance. This also applies when certain school classes or entire steps are quarantined.

";Not Applicable;15.09.2020;Norwegian Goverment;Government
139164;NOR;Norway;Europe;Introduction / extension of measures;Public health measures;Testing policy;;The exemption for business travelers from Sweden is extended to also apply to Finland. The provision is tightened so that it only applies to commuters who are also required to test every seven days. ;Not Available;15.09.2020;Norwegian Goverment;Government
139165;NOR;Norway;Europe;Introduction / extension of measures;Public health measures;Isolation and quarantine policies;;As long as the employer can plan the need for personnel, personnel working in critical societal functions must also adhere to the same rules for quarantine and testing as everyone else.;Not Available;15.09.2020;Norwegian Goverment;Government
139166;NOR;Norway;Europe;Introduction / extension of measures;Public health measures;Isolation and quarantine policies;;Aircraft personnel who have been ashore and areas with a quarantine obligation must be in the quarantine of entry. This is changed by granting a new exemption from the entry quarantine for flight personnel. ;Not Available;15.09.2020;Norwegian Goverment;Government
139167;NOR;Norway;Europe;Phase-out measure;Public health measures;Isolation and quarantine policies;;The government makes exceptions from entry restrictions and quarantine obligations for players and support staff participating in international matches and international club tournaments under the auspices of the European Football Association (UEFA).;Not Applicable;15.09.2020;Norwegian Goverment;Government
117896;NOR;Norway;Europe;Introduction / extension of measures;Public health measures;Strengthening the public health system;;The National Competence Service for Aging and Health introduces an e-learning course in palliative care, nursing and treatment of elderly and seriously ill people with covid-19, who live at home or in a nursing home.;Not Applicable;16.09.2020;The Norwegian Directorate of Health;Government
