I_past_week,I_2w_ago,I_slope_weekly,I_inter_week_rate,response_measure
83,111,-4,0.7477477477477478,0.0
83,111,-4,0.7477477477477478,0.0
71,110,-5,0.6454545454545455,1.0
71,107,-5,0.6635514018691588,1.0
74,94,-2,0.7872340425531915,1.0
73,86,-1,0.8488372093023255,1.0
76,74,0,1.027027027027027,1.0
80,72,1,1.1111111111111112,0.0
80,72,1,1.1111111111111112,0.0
80,72,1,1.1111111111111112,0.0
73,83,-1,0.8795180722891566,1.0
78,71,1,1.0985915492957747,1.0
76,71,0,1.0704225352112675,1.0
77,74,0,1.0405405405405406,3.0
77,74,0,1.0405405405405406,3.0
73,73,0,1.0,1.0
72,76,0,0.9473684210526315,1.0
61,80,-2,0.7625,1.0
59,73,-2,0.8082191780821918,1.0
61,78,-2,0.782051282051282,1.0
59,76,-2,0.7763157894736842,1.0
69,77,-1,0.8961038961038961,0.0
71,73,0,0.9726027397260274,1.0
83,72,1,1.1527777777777777,0.0
88,61,3,1.4426229508196722,1.0
94,59,5,1.5932203389830508,1.0
97,61,5,1.5901639344262295,1.0
107,59,6,1.8135593220338984,1.0
122,69,7,1.7681159420289856,1.0
139,71,9,1.9577464788732395,1.0
187,83,14,2.253012048192771,1.0
194,88,15,2.2045454545454546,1.0
198,94,14,2.106382978723404,1.0
212,97,16,2.185567010309278,1.0
236,107,18,2.205607476635514,0.0
265,122,20,2.1721311475409837,1.0
320,139,25,2.302158273381295,3.0
327,187,20,1.7486631016042782,0.0
349,194,22,1.7989690721649485,1.0
370,198,24,1.8686868686868687,1.0
395,212,26,1.8632075471698113,1.0
397,236,23,1.6822033898305084,1.0
394,265,18,1.4867924528301886,1.0
370,320,7,1.15625,1.0
443,327,16,1.3547400611620795,0.0
443,327,16,1.3547400611620795,0.0
451,349,14,1.2922636103151863,1.0
444,370,10,1.2,1.0
455,395,8,1.1518987341772151,1.0
471,397,10,1.18639798488665,1.0
468,394,10,1.1878172588832487,1.0
464,370,13,1.2540540540540541,1.0
365,443,-11,0.8239277652370203,1.0
367,451,-12,0.8137472283813747,1.0
359,444,-12,0.8085585585585585,1.0
352,455,-14,0.7736263736263737,1.0
336,471,-19,0.7133757961783439,0.0
316,468,-21,0.6752136752136753,1.0
318,464,-20,0.6853448275862069,0.0
349,365,-2,0.9561643835616438,1.0
345,367,-3,0.9400544959128065,1.0
376,359,2,1.0473537604456824,1.0
457,352,15,1.2982954545454546,1.0
530,336,27,1.5773809523809523,1.0
591,316,39,1.870253164556962,1.0
664,318,49,2.088050314465409,1.0
699,349,50,2.002865329512894,1.0
731,345,55,2.118840579710145,1.0
741,376,52,1.9707446808510638,1.0
725,457,38,1.5864332603938731,1.0
723,530,27,1.3641509433962264,1.0
746,591,22,1.2622673434856175,1.0
753,664,12,1.1340361445783131,1.0
870,699,24,1.2446351931330473,0.0
870,699,24,1.2446351931330473,0.0
864,731,19,1.1819425444596443,1.0
882,741,20,1.1902834008097165,1.0
854,725,18,1.1779310344827587,1.0
1401,723,96,1.937759336099585,0.0
1401,723,96,1.937759336099585,0.0
1401,723,96,1.937759336099585,0.0
1401,723,96,1.937759336099585,0.0
1401,723,96,1.937759336099585,3.0
1414,746,95,1.8954423592493297,0.0
1398,753,92,1.8565737051792828,0.0
1256,870,55,1.4436781609195402,0.0
1247,864,54,1.443287037037037,1.0
1246,882,52,1.4126984126984128,1.0
1305,854,64,1.5281030444964872,0.0
746,1401,-93,0.5324768022840828,1.0
752,1414,-94,0.5318246110325319,1.0
769,1398,-89,0.550071530758226,1.0
805,1256,-64,0.6409235668789809,1.0
810,1247,-62,0.6495589414595028,1.0
787,1246,-65,0.6316211878009631,1.0
748,1305,-79,0.5731800766283525,1.0
757,746,1,1.0147453083109919,0.0
732,752,-2,0.973404255319149,1.0
730,769,-5,0.9492847854356307,1.0
734,805,-10,0.9118012422360249,1.0
781,810,-4,0.9641975308641976,1.0
816,787,4,1.036848792884371,1.0
898,748,21,1.2005347593582887,0.0
986,757,32,1.3025099075297226,1.0
1067,732,47,1.4576502732240437,1.0
1104,730,53,1.5123287671232877,1.0
1111,734,53,1.513623978201635,0.0
1066,781,40,1.3649167733674776,1.0
1055,816,34,1.2928921568627452,1.0
1014,898,16,1.1291759465478841,1.0
971,986,-2,0.9847870182555781,0.0
934,1067,-19,0.8753514526710403,1.0
906,1104,-28,0.8206521739130435,0.0
902,1111,-29,0.8118811881188119,1.0
925,1066,-20,0.8677298311444653,1.0
940,1055,-16,0.8909952606635071,1.0
993,1014,-3,0.9792899408284024,0.0
1019,971,6,1.0494335736354274,1.0
1297,934,51,1.3886509635974305,3.0
1297,934,51,1.3886509635974305,0.0
1442,906,76,1.5916114790286975,1.0
1672,902,110,1.853658536585366,1.0
1815,925,127,1.962162162162162,1.0
1924,940,140,2.046808510638298,1.0
2190,993,171,2.205438066465257,1.0
2400,1019,197,2.355250245338567,1.0
5044,1297,535,3.8889745566692366,0.0
5044,1297,535,3.8889745566692366,0.0
5044,1297,535,3.8889745566692366,0.0
5044,1297,535,3.8889745566692366,0.0
5044,1297,535,3.8889745566692366,0.0
5044,1297,535,3.8889745566692366,0.0
5190,1442,535,3.5991678224687935,1.0
7898,1672,889,4.723684210526316,0.0
7898,1672,889,4.723684210526316,0.0
7898,1672,889,4.723684210526316,0.0
7898,1672,889,4.723684210526316,0.0
7898,1672,889,4.723684210526316,0.0
8435,1815,945,4.647382920110193,0.0
8435,1815,945,4.647382920110193,0.0
8555,1924,947,4.446465696465697,1.0
8717,2190,932,3.980365296803653,1.0
9008,2400,944,3.7533333333333334,1.0
6614,5044,224,1.3112609040444092,1.0
7387,5190,313,1.4233140655105974,0.0
7387,5190,313,1.4233140655105974,3.0
4961,7898,-419,0.628133704735376,1.0
4582,8435,-550,0.5432128037937166,1.0
4644,8555,-558,0.5428404441846874,1.0
4704,8717,-573,0.5396351955948148,0.0
4623,9008,-626,0.5132104795737122,1.0
4595,6614,-288,0.6947384336256426,1.0
4028,7387,-479,0.5452822526059293,1.0
4076,4961,-126,0.8216085466639791,1.0
4065,4582,-73,0.887167175905718,1.0
4086,4644,-79,0.8798449612403101,1.0
4100,4704,-86,0.8715986394557823,1.0
4132,4623,-70,0.8937919100151417,1.0
4120,4595,-67,0.8966267682263329,1.0
4046,4028,2,1.0044687189672294,1.0
3867,4076,-29,0.9487242394504416,1.0
3777,4065,-41,0.9291512915129151,1.0
3651,4086,-62,0.8935389133627019,1.0
3539,4100,-80,0.8631707317073171,1.0
3319,4132,-116,0.8032429816069699,1.0
4208,4120,12,1.021359223300971,0.0
4208,4120,12,1.021359223300971,0.0
4208,4120,12,1.021359223300971,0.0
4122,4046,10,1.018783984181908,1.0
4049,3867,26,1.0470649081975691,1.0
3997,3777,31,1.0582472862059835,1.0
3947,3651,42,1.0810736784442618,1.0
3787,3539,35,1.0700762927380616,1.0
3735,3319,59,1.1253389575173245,1.0
2616,4208,-227,0.6216730038022814,1.0
3336,4122,-112,0.8093158660844251,0.0
3336,4122,-112,0.8093158660844251,0.0
3336,4122,-112,0.8093158660844251,0.0
3270,4049,-111,0.8076068164979007,1.0
3286,3997,-101,0.8221165874405805,3.0
4629,3947,97,1.1727894603496327,0.0
4629,3947,97,1.1727894603496327,3.0
4629,3947,97,1.1727894603496327,3.0
4629,3947,97,1.1727894603496327,3.0
4629,3947,97,1.1727894603496327,3.0
4629,3947,97,1.1727894603496327,3.0
4679,3787,127,1.2355426458938474,1.0
5102,3735,195,1.3659973226238287,0.0
5102,3735,195,1.3659973226238287,0.0
5134,2616,359,1.9625382262996942,0.0
4807,3336,210,1.440947242206235,3.0
4807,3336,210,1.440947242206235,0.0
4831,3270,223,1.4773700305810398,1.0
4834,3286,221,1.4710894704808277,1.0
3545,4629,-154,0.7658241520846835,1.0
3591,4679,-155,0.7674716819833298,1.0
3245,5102,-265,0.6360250882007056,1.0
3243,5134,-270,0.6316712115309701,1.0
2803,4807,-286,0.5831079675473269,1.0
2873,4831,-279,0.5947008900848686,1.0
2927,4834,-272,0.6055026892842367,1.0
2943,3545,-86,0.8301833568406206,1.0
3018,3591,-81,0.8404344193817878,1.0
3141,3245,-14,0.9679506933744222,1.0
3277,3243,4,1.0104841196423064,1.0
3717,2803,130,1.3260792008562254,0.0
3717,2803,130,1.3260792008562254,0.0
3717,2803,130,1.3260792008562254,0.0
3537,2873,94,1.231117298990602,1.0
3694,2927,109,1.2620430474888964,1.0
3819,2943,125,1.2976554536187563,1.0
3977,3018,137,1.3177601060304838,1.0
4111,3141,138,1.308818847500796,1.0
4163,3277,126,1.2703692401586817,1.0
3727,3717,1,1.0026903416733925,0.0
3779,3537,34,1.0684195646027708,1.0
3836,3694,20,1.0384407146724417,1.0
3855,3819,5,1.00942655145326,1.0
4015,3977,5,1.0095549409102338,1.0
4109,4111,0,0.9995135003648747,1.0
4179,4163,2,1.003843382176315,1.0
4480,3727,107,1.2020391735980682,1.0
4784,3779,143,1.2659433712622388,1.0
4675,3836,119,1.2187174139728885,1.0
4667,3855,116,1.2106355382619973,1.0
4368,4015,50,1.087920298879203,1.0
4143,4109,4,1.0082745193477731,1.0
3895,4179,-40,0.9320411581718114,1.0
3614,4480,-123,0.8066964285714285,1.0
3361,4784,-203,0.7025501672240803,1.0
3214,4675,-208,0.6874866310160428,1.0
3005,4667,-237,0.6438825798157275,1.0
2813,4368,-222,0.6440018315018315,1.0
2591,4143,-221,0.6253922278542119,1.0
2484,3895,-201,0.6377406931964057,1.0
2375,3614,-177,0.6571665744327615,1.0
2308,3361,-150,0.686700386789646,1.0
2254,3214,-137,0.70130678282514,1.0
2217,3005,-112,0.7377703826955075,1.0
2156,2813,-93,0.7664415215072876,1.0
2089,2591,-71,0.8062524121960633,1.0
2080,2484,-57,0.8373590982286635,1.0
2018,2375,-51,0.8496842105263158,1.0
1985,2308,-46,0.860051993067591,1.0
1947,2254,-43,0.8637976929902396,1.0
1938,2217,-39,0.8741542625169147,1.0
1871,2156,-40,0.8678107606679035,1.0
1887,2089,-28,0.9033030157970321,1.0
1867,2080,-30,0.8975961538461539,1.0
1837,2018,-25,0.9103072348860257,1.0
1829,1985,-22,0.9214105793450882,1.0
1852,1947,-13,0.9512069851052902,1.0
1839,1938,-14,0.9489164086687306,1.0
1822,1871,-7,0.9738107963655799,1.0
1801,1887,-12,0.9544250132485427,1.0
1787,1867,-11,0.9571505088377076,1.0
